site,plot_id,plot,timepoint,cover_type,percentage_cover
HK,HK1,HK_1,fall_2022,hard_coral,9.665427509
HK,HK1,HK_1,fall_2022,soft_coral,3.717472119
HK,HK1,HK_1,fall_2022,CCA,4.089219331
HK,HK1,HK_1,fall_2022,fleshy_macro,32.34200743
HK,HK1,HK_1,fall_2022,calcified_macro,5.018587361
HK,HK1,HK_1,fall_2022,turf,23.79182156
HK,HK1,HK_1,fall_2022,sponge,6.133828996
HK,HK1,HK_1,fall_2022,sand_sediment,10.59479554
HK,HK1,HK_1,fall_2022,other,4.646840149
HK,HK1,HK_1,spring_2022,hard_coral,9.642857143
HK,HK1,HK_1,spring_2022,soft_coral,2.857142857
HK,HK1,HK_1,spring_2022,CCA,3.214285714
HK,HK1,HK_1,spring_2022,fleshy_macro,31.78571429
HK,HK1,HK_1,spring_2022,calcified_macro,11.42857143
HK,HK1,HK_1,spring_2022,turf,25.89285714
HK,HK1,HK_1,spring_2022,sponge,3.75
HK,HK1,HK_1,spring_2022,sand_sediment,8.928571429
HK,HK1,HK_1,spring_2022,other,2.5
HK,HK2,HK_2,fall_2022,hard_coral,23.94136808
HK,HK2,HK_2,fall_2022,soft_coral,0.488599349
HK,HK2,HK_2,fall_2022,CCA,1.628664495
HK,HK2,HK_2,fall_2022,fleshy_macro,14.00651466
HK,HK2,HK_2,fall_2022,calcified_macro,3.094462541
HK,HK2,HK_2,fall_2022,turf,52.60586319
HK,HK2,HK_2,fall_2022,sponge,0
HK,HK2,HK_2,fall_2022,sand_sediment,3.25732899
HK,HK2,HK_2,fall_2022,other,0.977198697
HK,HK2,HK_2,spring_2022,hard_coral,23.94136808
HK,HK2,HK_2,spring_2022,soft_coral,0.488599349
HK,HK2,HK_2,spring_2022,CCA,1.628664495
HK,HK2,HK_2,spring_2022,fleshy_macro,14.00651466
HK,HK2,HK_2,spring_2022,calcified_macro,3.094462541
HK,HK2,HK_2,spring_2022,turf,52.60586319
HK,HK2,HK_2,spring_2022,sponge,0
HK,HK2,HK_2,spring_2022,sand_sediment,3.25732899
HK,HK2,HK_2,spring_2022,other,0.977198697
HK,HK3,HK_3,fall_2022,hard_coral,12.39804241
HK,HK3,HK_3,fall_2022,soft_coral,0
HK,HK3,HK_3,fall_2022,CCA,4.893964111
HK,HK3,HK_3,fall_2022,fleshy_macro,24.95921697
HK,HK3,HK_3,fall_2022,calcified_macro,1.305057096
HK,HK3,HK_3,fall_2022,turf,48.61337684
HK,HK3,HK_3,fall_2022,sponge,0.163132137
HK,HK3,HK_3,fall_2022,sand_sediment,7.340946166
HK,HK3,HK_3,fall_2022,other,0.326264274
HK,HK3,HK_3,spring_2022,hard_coral,11.37931034
HK,HK3,HK_3,spring_2022,soft_coral,0.172413793
HK,HK3,HK_3,spring_2022,CCA,2.586206897
HK,HK3,HK_3,spring_2022,fleshy_macro,30.34482759
HK,HK3,HK_3,spring_2022,calcified_macro,2.24137931
HK,HK3,HK_3,spring_2022,turf,47.06896552
HK,HK3,HK_3,spring_2022,sponge,0.344827586
HK,HK3,HK_3,spring_2022,sand_sediment,4.655172414
HK,HK3,HK_3,spring_2022,other,1.206896552
OT,OT1,OT_5,fall_2022,hard_coral,64.2394822
OT,OT1,OT_5,fall_2022,soft_coral,0.323624595
OT,OT1,OT_5,fall_2022,CCA,1.294498382
OT,OT1,OT_5,fall_2022,fleshy_macro,0.970873786
OT,OT1,OT_5,fall_2022,calcified_macro,0.323624595
OT,OT1,OT_5,fall_2022,turf,27.18446602
OT,OT1,OT_5,fall_2022,sponge,0
OT,OT1,OT_5,fall_2022,sand_sediment,5.339805825
OT,OT1,OT_5,fall_2022,other,0.323624595
OT,OT1,OT_5,spring_2022,hard_coral,59.87055016
OT,OT1,OT_5,spring_2022,soft_coral,0
OT,OT1,OT_5,spring_2022,CCA,0.970873786
OT,OT1,OT_5,spring_2022,fleshy_macro,1.941747573
OT,OT1,OT_5,spring_2022,calcified_macro,1.618122977
OT,OT1,OT_5,spring_2022,turf,28.802589
OT,OT1,OT_5,spring_2022,sponge,0
OT,OT1,OT_5,spring_2022,sand_sediment,5.987055016
OT,OT1,OT_5,spring_2022,other,0.809061489
OT,OT2,OT_4,fall_2022,hard_coral,40.69767442
OT,OT2,OT_4,fall_2022,soft_coral,1.827242525
OT,OT2,OT_4,fall_2022,CCA,4.651162791
OT,OT2,OT_4,fall_2022,fleshy_macro,0.996677741
OT,OT2,OT_4,fall_2022,calcified_macro,1.162790698
OT,OT2,OT_4,fall_2022,turf,48.17275748
OT,OT2,OT_4,fall_2022,sponge,0
OT,OT2,OT_4,fall_2022,sand_sediment,0
OT,OT2,OT_4,fall_2022,other,2.491694352
OT,OT2,OT_4,spring_2022,hard_coral,37.87375415
OT,OT2,OT_4,spring_2022,soft_coral,0.996677741
OT,OT2,OT_4,spring_2022,CCA,3.820598007
OT,OT2,OT_4,spring_2022,fleshy_macro,3.156146179
OT,OT2,OT_4,spring_2022,calcified_macro,1.162790698
OT,OT2,OT_4,spring_2022,turf,50
OT,OT2,OT_4,spring_2022,sponge,0
OT,OT2,OT_4,spring_2022,sand_sediment,0.166112957
OT,OT2,OT_4,spring_2022,other,2.823920266
OT,OT3,OT_3,fall_2022,hard_coral,38.87096774
OT,OT3,OT_3,fall_2022,soft_coral,0
OT,OT3,OT_3,fall_2022,CCA,10.64516129
OT,OT3,OT_3,fall_2022,fleshy_macro,2.258064516
OT,OT3,OT_3,fall_2022,calcified_macro,0.161290323
OT,OT3,OT_3,fall_2022,turf,36.77419355
OT,OT3,OT_3,fall_2022,sponge,0.483870968
OT,OT3,OT_3,fall_2022,sand_sediment,2.903225806
OT,OT3,OT_3,fall_2022,other,7.903225806
OT,OT3,OT_3,spring_2022,hard_coral,34.91803279
OT,OT3,OT_3,spring_2022,soft_coral,0.655737705
OT,OT3,OT_3,spring_2022,CCA,9.508196721
OT,OT3,OT_3,spring_2022,fleshy_macro,5.245901639
OT,OT3,OT_3,spring_2022,calcified_macro,0.655737705
OT,OT3,OT_3,spring_2022,turf,41.63934426
OT,OT3,OT_3,spring_2022,sponge,0.327868852
OT,OT3,OT_3,spring_2022,sand_sediment,4.590163934
OT,OT3,OT_3,spring_2022,other,2.459016393
IT,IT1,IT_4,fall_2022,hard_coral,33.76205788
IT,IT1,IT_4,fall_2022,soft_coral,0
IT,IT1,IT_4,fall_2022,CCA,1.286173633
IT,IT1,IT_4,fall_2022,fleshy_macro,0.482315113
IT,IT1,IT_4,fall_2022,calcified_macro,2.411575563
IT,IT1,IT_4,fall_2022,turf,39.87138264
IT,IT1,IT_4,fall_2022,sponge,0.160771704
IT,IT1,IT_4,fall_2022,sand_sediment,20.57877814
IT,IT1,IT_4,fall_2022,other,1.446945338
IT,IT1,IT_4,spring_2022,hard_coral,31.35313531
IT,IT1,IT_4,spring_2022,soft_coral,0
IT,IT1,IT_4,spring_2022,CCA,2.145214521
IT,IT1,IT_4,spring_2022,fleshy_macro,8.250825083
IT,IT1,IT_4,spring_2022,calcified_macro,2.97029703
IT,IT1,IT_4,spring_2022,turf,33.99339934
IT,IT1,IT_4,spring_2022,sponge,0.330033003
IT,IT1,IT_4,spring_2022,sand_sediment,20.2970297
IT,IT1,IT_4,spring_2022,other,0.660066007
IT,IT2,IT_3,fall_2022,hard_coral,12.07482993
IT,IT2,IT_3,fall_2022,soft_coral,0
