coral_id,tank,treatment,site,surface_area_cm2,chla_ug_cm2
T1-OT1,T1,30C,OT,3.145588,1.284131933
T1-OT2,T1,30C,OT,6.565172,1.32926855
T1-OT3,T1,30C,OT,2.4616712,1.279210914
T1-OT4,T1,30C,OT,2.77202,1.223122488
T1-OT5,T1,30C,OT,4.5651464,0.424653048
T1-OT6,T1,30C,OT,4.8065288,1.427574927
T1-IT1,T1,30C,IT,2.7317896,1.603922938
T1-IT2,T1,30C,IT,1.9501704,1.117915987
T1-IT3,T1,30C,IT,3.4731784,1.792187429
T1-IT4,T1,30C,IT,3.260532,2.014490273
T1-IT5,T1,30C,IT,2.7030536,1.67685909
T1-IT6,T1,30C,IT,2.743284,1.338521033
T1-HK1,T1,30C,HK,2.2777608,1.755869185
T1-HK2,T1,30C,HK,2.1283336,2.340587021
T1-HK3,T1,30C,HK,2.8352392,1.522900314
T1-HK4,T1,30C,HK,3.2260488,1.809173914
T1-HK5,T1,30C,HK,2.4156936,2.555884295
T1-HK6,T1,30C,HK,3.547892,2.566659301
T1-HKS1,T1,30C,HKS,2.8122504,2.3814309
T1-HKS2,T1,30C,HKS,5.444468,1.511736317
T1-HKS3,T1,30C,HKS,3.1685768,3.171805714
T1-HKS4,T1,30C,HKS,3.4214536,1.555187928
T1-HKS5,T1,30C,HKS,2.657076,2.736350033
T1-HKS6,T1,30C,HKS,2.3064968,3.981472393
T2-OT1,T2,33C,OT,11.9445512,0.730115614
T2-OT2,T2,33C,OT,3.7432968,1.626440628
T2-OT3,T2,33C,OT,3.2950152,1.483547026
T2-OT4,T2,33C,OT,4.5421576,1.552753255
T2-OT5,T2,33C,OT,3.9042184,1.145821316
T2-OT6,T2,33C,OT,2.9559304,2.022067231
T2-IT1,T2,33C,IT,8.4732424,2.423824202
T2-IT2,T2,33C,IT,2.0995976,1.314251836
T2-IT3,T2,33C,IT,3.289268,1.730228934
T2-IT4,T2,33C,IT,2.657076,2.378860572
T2-IT5,T2,33C,IT,3.8812296,1.949213036
T2-IT6,T2,33C,IT,2.5823624,2.027221276
T2-HK1,T2,33C,HK,3.0766216,1.159309506
T2-HK2,T2,33C,HK,4.0708872,2.674340047
T2-HK3,T2,33C,HK,3.6398472,1.561174509
T2-HK4,T2,33C,HK,4.0421512,1.593441961
T2-HK5,T2,33C,HK,2.4904072,2.852225665
T2-HK6,T2,33C,HK,3.8524936,2.15648206
T2-HKS1,T2,33C,HKS,2.599604,2.782564832
T2-HKS2,T2,33C,HKS,3.231796,2.178699811
T2-HKS3,T2,33C,HKS,2.312244,2.422939217
T2-HKS4,T2,33C,HKS,3.3927176,2.176611064
T2-HKS5,T2,33C,HKS,2.5363848,2.582652285
T2-HKS6,T2,33C,HKS,3.0766216,2.427700783
T3-OT1,T3,36C,OT,7.5019656,0.143683232
T3-OT2,T3,36C,OT,7.6169096,0.312272753
T3-OT3,T3,36C,OT,7.8410504,0.458093387
T3-OT4,T3,36C,OT,7.0479368,0.216421256
T3-OT5,T3,36C,OT,7.1169032,0.757640392
T3-OT6,T3,36C,OT,9.8295816,0.139635648
T3-IT1,T3,36C,IT,4.3467528,0.759543998
T3-IT2,T3,36C,IT,13.11698,0.246739214
T3-IT3,T3,36C,IT,8.2203656,0.235596577
T3-IT4,T3,36C,IT,6.6571272,0.861823701
T3-IT5,T3,36C,IT,7.0077064,1.431384169
T3-IT6,T3,36C,IT,7.7376008,0.758327224
T3-HK1,T3,36C,HK,5.1973384,0.819396969
T3-HK2,T3,36C,HK,3.6341,0.861229282
T3-HK3,T3,36C,HK,5.099636,0.561723752
T3-HK4,T3,36C,HK,8.116916,0.154693811
T3-HK5,T3,36C,HK,6.1571208,0.490509568
T3-HK6,T3,36C,HK,3.691572,2.189687754
T3-HKS1,T3,36C,HKS,6.3295368,0.71307535
T3-HKS2,T3,36C,HKS,6.6398856,0.650087004
T3-HKS3,T3,36C,HKS,4.8754952,0.259378097
T3-HKS4,T3,36C,HKS,10.9215496,0.468604443
T3-HKS5,T3,36C,HKS,5.2950408,0.328039021
T3-HKS6,T3,36C,HKS,8.6973832,0.351342076
T4-OT1,T4,39C,OT,6.8467848,0.111561853
T4-OT2,T4,39C,OT,10.6571784,0.094877521
T4-OT3,T4,39C,OT,8.8870408,0.137279292
T4-OT4,T4,39C,OT,8.3123208,0.111323102
T4-OT5,T4,39C,OT,13.9675656,0.063699241
T4-OT6,T4,39C,OT,9.7950984,0.112006021
T4-IT1,T4,39C,IT,11.3813256,0.094183522
T4-IT2,T4,39C,IT,4.8467592,0.215046101
T4-IT3,T4,39C,IT,6.5019528,0.16532264
T4-IT4,T4,39C,IT,6.5709192,0.151865612
T4-IT5,T4,39C,IT,6.4387336,0.173838532
T4-IT6,T4,39C,IT,5.6915976,0.187286606
T4-HK1,T4,39C,HK,4.2318088,0.270093331
T4-HK2,T4,39C,HK,5.9157384,0.244028708
T4-HK3,T4,39C,HK,9.0537096,0.134422248
T4-HK4,T4,39C,HK,5.703092,0.187694675
T4-HK5,T4,39C,HK,5.2663048,0.339430284
T4-HK6,T4,39C,HK,7.024948,0.177251609
T4-HKS1,T4,39C,HKS,14.9445896,0.137643124
T4-HKS2,T4,39C,HKS,9.4732552,0.088761816
T4-HKS3,T4,39C,HKS,4.5076744,0.257208018
T4-HKS4,T4,39C,HKS,10.3123464,0.125629669
T4-HKS5,T4,39C,HKS,5.0479112,0.246377155
T4-HKS6,T4,39C,HKS,10.0077448,0.102825031
T14-OT1,T14,27C,OT,2.8409864,1.453129096
T14-OT2,T14,27C,OT,4.2892808,0.699981374
T14-OT3,T14,27C,OT,1.450164,2.122481779
T14-OT4,T14,27C,OT,5.616884,1.369873997
T14-OT5,T14,27C,OT,3.030644,1.710254762
T14-OT6,T14,27C,OT,5.042164,2.147161417
T14-IT1,T14,27C,IT,1.8582152,1.214687083
T14-IT2,T14,27C,IT,2.6743176,1.031814621
T14-IT3,T14,27C,IT,3.4559368,2.553952954
T14-IT4,T14,27C,IT,3.5938696,2.223388962
T14-IT5,T14,27C,IT,5.6341256,3.031248836
T14-IT6,T14,27C,IT,2.2605192,1.292142678
T14-HK1,T14,27C,HK,2.1570696,2.00178829
T14-HK2,T14,27C,HK,3.576628,1.879941107
T14-HK3,T14,27C,HK,2.657076,1.838046785
T14-HK4,T14,27C,HK,2.3869576,1.379496645
T14-HK5,T14,27C,HK,2.6398344,1.861285945
T14-HK6,T14,27C,HK,2.398452,2.067733688
T14-HKS1,T14,27C,HKS,3.8697352,2.569875238
T14-HKS2,T14,27C,HKS,2.2375304,1.558301361
T14-HKS3,T14,27C,HKS,5.3525128,2.326291806
T14-HKS4,T14,27C,HKS,3.0478856,3.264791172
T14-HKS5,T14,27C,HKS,1.4616584,4.51402781
T14-HKS6,T14,27C,HKS,2.6168456,2.744989362
