colony_ID,site,collection_date,diameter_cm,FvFm_rep1,FvFm_rep2,FvFm_rep3,FvFm_avg
HK_1,Haikou,2022-03-16,14,0.672,0.702,0.707,0.694
HK_2,Haikou,2022-03-16,10,0.597,0.646,0.692,0.645
HK_3,Haikou,2022-03-16,14,0.592,0.603,0.701,0.632
HK_4,Haikou,2022-03-16,10,0.631,0.635,0.638,0.635
HK_5,Haikou,2022-03-16,11,0.65,0.606,0.686,0.647
HK_6,Haikou,2022-03-16,10,0.613,0.606,0.62,0.613
HKS_1,Haikou_reef.flat,2022-03-16,9,0.607,0.709,0.682,0.666
HKS_2,Haikou_reef.flat,2022-03-16,11,0.618,0.593,0.663,0.625
HKS_3,Haikou_reef.flat,2022-03-16,12,0.651,0.665,0.695,0.67
HKS_4,Haikou_reef.flat,2022-03-16,16,0.659,0.585,0.629,0.624
HKS_5,Haikou_reef.flat,2022-03-16,14,0.635,0.677,0.681,0.664
HKS_6,Haikou_reef.flat,2022-03-16,13,0.689,0.703,0.677,0.69
IT_1,Inlet,2022-03-16,14,0.567,0.627,0.684,0.626
IT_2,Inlet,2022-03-16,15,0.643,0.636,0.632,0.637
IT_3,Inlet,2022-03-16,14,0.641,0.703,0.6,0.648
IT_4,Inlet,2022-03-16,14,0.579,0.601,0.665,0.615
IT_5,Inlet,2022-03-16,13,0.69,0.604,0.583,0.626
IT_6,Inlet,2022-03-16,14,0.587,0.68,0.537,0.601
OT_1,Outlet,2022-03-16,13,0.589,0.612,0.582,0.594
OT_2,Outlet,2022-03-16,12,0.57,0.65,0.685,0.635
OT_3,Outlet,2022-03-16,13,0.716,0.668,0.68,0.688
OT_4,Outlet,2022-03-16,14,0.655,0.663,0.667,0.662
OT_5,Outlet,2022-03-16,16,0.64,0.676,0.668,0.661
OT_6,Outlet,2022-03-16,15,0.688,0.65,0.626,0.655
