tank,temp,treatment,site,colony_id,nubbin_id,pre_fvfm,post_fvfm,change_fvfm
T1,30,30C,HK,HK1,HK1_11,0.79,0.734,-0.056
T1,30,30C,HK,HK2,HK2_4,0.761,0.675,-0.086
T1,30,30C,HK,HK3,HK3_11,0.777,0.679,-0.098
T1,30,30C,HK,HK4,HK4_14,0.744,0.742,-0.002
T1,30,30C,HK,HK5,HK5_4,0.767,0.77,0.003
T1,30,30C,HK,HK6,HK6_1,0.761,0.695,-0.066
T1,30,30C,OT,OT1,OT1_3,0.68,0.752,0.072
T1,30,30C,OT,OT2,OT2_3,0.674,0.769,0.095
T1,30,30C,OT,OT3,OT3_12,0.695,0.719,0.024
T1,30,30C,OT,OT4,OT4_9,0.734,0.578,-0.156
T1,30,30C,OT,OT5,OT5_1,0.717,0.728,0.011
T1,30,30C,OT,OT6,OT6_4,0.749,0.718,-0.031
T1,30,30C,IT,IT1,IT1_10,0.758,0.73,-0.028
T1,30,30C,IT,IT2,IT2_5,0.76,0.722,-0.038
T1,30,30C,IT,IT3,IT3_14,0.742,0.701,-0.041
T1,30,30C,IT,IT4,IT4_4,0.759,0.769,0.01
T1,30,30C,IT,IT5,IT5_7,0.78,0.662,-0.118
T1,30,30C,IT,IT6,IT6_6,0.727,0.687,-0.04
T1,30,30C,HKS,HKS1,HKS1_13,0.646,0.731,0.085
T1,30,30C,HKS,HKS2,HKS2_10,0.697,0.733,0.036
T1,30,30C,HKS,HKS3,HKS3_2,0.763,0.766,0.003
T1,30,30C,HKS,HKS4,HKS4_11,0.76,0.733,-0.027
T1,30,30C,HKS,HKS5,HKS5_13,0.764,0.651,-0.113
T1,30,30C,HKS,HKS6,HKS6_3,0.774,0.748,-0.026
T2,33,33C,HK,HK1,HK1_3,0.694,0.696,0.002
T2,33,33C,HK,HK2,HK2_3,0.674,0.715,0.041
T2,33,33C,HK,HK3,HK3_8,0.729,0.633,-0.096
T2,33,33C,HK,HK4,HK4_1,0.736,0.622,-0.114
T2,33,33C,HK,HK5,HK5_1,0.743,0.758,0.015
T2,33,33C,HK,HK6,HK6_5,0.734,0.689,-0.045
T2,33,33C,OT,OT1,OT1_8,0.723,0.732,0.009
T2,33,33C,OT,OT2,OT2_4,0.744,0.739,-0.005
T2,33,33C,OT,OT3,OT3_15,0.75,0.674,-0.076
T2,33,33C,OT,OT4,OT4_14,0.754,0.719,-0.035
T2,33,33C,OT,OT5,OT5_7,0.72,0.71,-0.01
T2,33,33C,OT,OT6,OT6_3,0.746,0.664,-0.082
T2,33,33C,IT,IT1,IT1_5,0.668,0.685,0.017
T2,33,33C,IT,IT2,IT2_11,0.742,0.624,-0.118
T2,33,33C,IT,IT3,IT3_11,0.653,0.649,-0.004
T2,33,33C,IT,IT4,IT4_11,0.663,0.746,0.083
T2,33,33C,IT,IT5,IT5_11,0.737,0.706,-0.031
T2,33,33C,IT,IT6,IT6_4,0.752,0.64,-0.112
T2,33,33C,HKS,HKS1,HKS1_11,0.74,0.722,-0.018
T2,33,33C,HKS,HKS2,HKS2_11,0.744,0.708,-0.036
T2,33,33C,HKS,HKS3,HKS3_1,0.732,0.697,-0.035
T2,33,33C,HKS,HKS4,HKS4_7,0.738,0.718,-0.02
