site,plot_id,plot,genet_id,size,timepoint,change,status
Outlet,OT1,OT_5,0,19.48,spring_2022,NA,NA
Outlet,OT1,OT_5,10,55.85,spring_2022,NA,NA
Outlet,OT1,OT_5,12,32.29,spring_2022,NA,NA
Outlet,OT1,OT_5,13,18.02,spring_2022,NA,NA
Outlet,OT1,OT_5,14,22.33,spring_2022,NA,NA
Outlet,OT1,OT_5,18,90.12,spring_2022,NA,NA
Outlet,OT1,OT_5,23,83.32,spring_2022,NA,NA
Outlet,OT1,OT_5,25,51.25,spring_2022,NA,NA
Outlet,OT1,OT_5,26,43.43,spring_2022,NA,NA
Outlet,OT1,OT_5,28,65.3,spring_2022,NA,NA
Outlet,OT1,OT_5,29,44.99,spring_2022,NA,NA
Outlet,OT1,OT_5,32,28.64,spring_2022,NA,NA
Outlet,OT1,OT_5,33,81.32,spring_2022,NA,NA
Outlet,OT1,OT_5,34,58.15,spring_2022,NA,NA
Outlet,OT1,OT_5,52,15.14,spring_2022,NA,NA
Outlet,OT1,OT_5,54,77.2,spring_2022,NA,NA
Outlet,OT1,OT_5,55,69.35,spring_2022,NA,NA
Outlet,OT1,OT_5,57,62.62,spring_2022,NA,NA
Outlet,OT1,OT_5,58,43.17,spring_2022,NA,NA
Outlet,OT1,OT_5,59,51.09,spring_2022,NA,NA
Outlet,OT1,OT_5,61,65.49,spring_2022,NA,NA
Outlet,OT1,OT_5,62,198.95,spring_2022,NA,NA
Outlet,OT1,OT_5,69,46.02,spring_2022,NA,NA
Outlet,OT1,OT_5,70,56.56,spring_2022,NA,NA
Outlet,OT1,OT_5,71,11.44,spring_2022,NA,NA
Outlet,OT1,OT_5,73,7.9,spring_2022,NA,NA
Outlet,OT1,OT_5,74,17.56,spring_2022,NA,NA
Outlet,OT1,OT_5,16,198.36,spring_2022,NA,NA
Outlet,OT1,OT_5,24,113.55,spring_2022,NA,NA
Outlet,OT1,OT_5,27,104.38,spring_2022,NA,NA
Outlet,OT1,OT_5,43,160.24,spring_2022,NA,NA
Outlet,OT1,OT_5,51,116.1,spring_2022,NA,NA
