site,plot_id,plot,genet_id,T1_spring,T2_fall,change,status,action,split_fuse,include
Outlet,OT1,OT_5,0,19.48,21.63,2.15,grew,grow,n/s,OK
Outlet,OT1,OT_5,10,55.85,75.8,19.95,grew,grow,n/s,OK
Outlet,OT1,OT_5,12,32.29,47.71,15.42,grew,grow,n/s,OK
Outlet,OT1,OT_5,13,18.02,29.85,11.83,grew,grow,n/s,OK
Outlet,OT1,OT_5,14,22.33,40.61,18.28,grew,grow,n/s,OK
Outlet,OT1,OT_5,18,90.12,95.64,5.52,grew,grow,n/s,OK
Outlet,OT1,OT_5,23,83.32,90.59,7.27,grew,grow,n/s,OK
Outlet,OT1,OT_5,25,51.25,66.61,15.36,grew,grow,n/s,OK
Outlet,OT1,OT_5,26,43.43,51.68,8.25,grew,grow,n/s,OK
Outlet,OT1,OT_5,28,65.3,78.6,13.3,grew,grow,n/s,OK
Outlet,OT1,OT_5,29,44.99,48.93,3.94,grew,grow,n/s,OK
Outlet,OT1,OT_5,32,28.64,31.47,2.83,grew,grow,n/s,OK
Outlet,OT1,OT_5,33,81.32,96.44,15.12,grew,grow,none,OK
Outlet,OT1,OT_5,34,58.15,67.4,9.25,grew,grow,none,OK
Outlet,OT1,OT_5,52,15.14,25.43,10.29,grew,grow,n/s,OK
Outlet,OT1,OT_5,54,77.2,86.8,9.6,grew,grow,n/s,OK
Outlet,OT1,OT_5,55,69.35,77.31,7.96,grew,grow,n/s,OK
Outlet,OT1,OT_5,57,62.62,74.44,11.82,grew,grow,n/s,OK
Outlet,OT1,OT_5,58,43.17,57,13.83,grew,grow,n/s,OK
Outlet,OT1,OT_5,59,51.09,65.92,14.83,grew,grow,n/s,OK
Outlet,OT1,OT_5,61,65.49,69.62,4.13,grew,grow,n/s,OK
Outlet,OT1,OT_5,62,198.95,221.29,22.34,grew,grow,n/s,OK
Outlet,OT1,OT_5,69,46.02,61.06,15.04,grew,grow,n/s,OK
Outlet,OT1,OT_5,70,56.56,74.28,17.72,grew,grow,n/s,OK
Outlet,OT1,OT_5,71,11.44,15.6,4.16,grew,grow,n/s,OK
Outlet,OT1,OT_5,73,7.9,8.97,1.07,grew,grow,n/s,OK
