day_night,DateTime,lux,PAR,site
night,2023-07-14 00:00:00 UTC,0,0,Outlet
night,2023-07-14 00:10:00 UTC,0,0,Outlet
night,2023-07-14 00:20:00 UTC,0,0,Outlet
night,2023-07-14 00:30:00 UTC,0,0,Outlet
night,2023-07-14 00:40:00 UTC,0,0,Outlet
night,2023-07-14 00:50:00 UTC,0,0,Outlet
night,2023-07-14 01:00:00 UTC,0,0,Outlet
night,2023-07-14 01:10:00 UTC,0,0,Outlet
night,2023-07-14 01:20:00 UTC,0,0,Outlet
night,2023-07-14 01:30:00 UTC,0,0,Outlet
night,2023-07-14 01:40:00 UTC,0,0,Outlet
night,2023-07-14 01:50:00 UTC,0,0,Outlet
night,2023-07-14 02:00:00 UTC,0,0,Outlet
night,2023-07-14 02:10:00 UTC,0,0,Outlet
night,2023-07-14 02:20:00 UTC,0,0,Outlet
night,2023-07-14 02:30:00 UTC,0,0,Outlet
night,2023-07-14 02:40:00 UTC,0,0,Outlet
night,2023-07-14 02:50:00 UTC,0,0,Outlet
night,2023-07-14 03:00:00 UTC,0,0,Outlet
night,2023-07-14 03:10:00 UTC,0,0,Outlet
night,2023-07-14 03:20:00 UTC,0,0,Outlet
night,2023-07-14 03:30:00 UTC,0,0,Outlet
night,2023-07-14 03:40:00 UTC,0,0,Outlet
night,2023-07-14 03:50:00 UTC,0,0,Outlet
night,2023-07-14 04:00:00 UTC,0,0,Outlet
night,2023-07-14 04:10:00 UTC,0,0,Outlet
night,2023-07-14 04:20:00 UTC,0,0,Outlet
night,2023-07-14 04:30:00 UTC,0,0,Outlet
night,2023-07-14 04:40:00 UTC,0,0,Outlet
night,2023-07-14 04:50:00 UTC,0,0,Outlet
night,2023-07-14 05:00:00 UTC,0,0,Outlet
night,2023-07-14 05:10:00 UTC,0,0,Outlet
night,2023-07-14 05:20:00 UTC,32.3,0.59755,Outlet
night,2023-07-14 05:30:00 UTC,129.2,2.3902,Outlet
night,2023-07-14 05:40:00 UTC,226,4.181,Outlet
night,2023-07-14 05:50:00 UTC,430.6,7.9661,Outlet
day,2023-07-14 06:00:00 UTC,678.1,12.54485,Outlet
day,2023-07-14 06:10:00 UTC,958,17.723,Outlet
day,2023-07-14 06:20:00 UTC,1356.3,25.09155,Outlet
day,2023-07-14 06:30:00 UTC,2066.7,38.23395,Outlet
day,2023-07-14 06:40:00 UTC,2152.8,39.8268,Outlet
day,2023-07-14 06:50:00 UTC,2066.7,38.23395,Outlet
day,2023-07-14 07:00:00 UTC,1356.3,25.09155,Outlet
day,2023-07-14 07:10:00 UTC,3961.1,73.28035,Outlet
day,2023-07-14 07:20:00 UTC,2927.8,54.1643,Outlet
day,2023-07-14 07:30:00 UTC,4994.5,92.39825,Outlet
day,2023-07-14 07:40:00 UTC,5166.7,95.58395,Outlet
day,2023-07-14 07:50:00 UTC,3444.5,63.72325,Outlet
day,2023-07-14 08:00:00 UTC,5511.1,101.95535,Outlet
day,2023-07-14 08:10:00 UTC,5338.9,98.76965,Outlet
day,2023-07-14 08:20:00 UTC,3272.2,60.5357,Outlet
day,2023-07-14 08:30:00 UTC,2755.6,50.9786,Outlet
day,2023-07-14 08:40:00 UTC,2927.8,54.1643,Outlet
day,2023-07-14 08:50:00 UTC,2669.5,49.38575,Outlet
day,2023-07-14 09:00:00 UTC,4650,86.025,Outlet
day,2023-07-14 09:10:00 UTC,6544.5,121.07325,Outlet
day,2023-07-14 09:20:00 UTC,5338.9,98.76965,Outlet
day,2023-07-14 09:30:00 UTC,5511.1,101.95535,Outlet
day,2023-07-14 09:40:00 UTC,4477.8,82.8393,Outlet
day,2023-07-14 09:50:00 UTC,18600.1,344.10185,Outlet
day,2023-07-14 10:00:00 UTC,28933.5,535.26975,Outlet
day,2023-07-14 10:10:00 UTC,52355.9,968.58415,Outlet
day,2023-07-14 10:20:00 UTC,7577.8,140.1893,Outlet
day,2023-07-14 10:30:00 UTC,31689.1,586.24835,Outlet
day,2023-07-14 10:40:00 UTC,16533.4,305.8679,Outlet
day,2023-07-14 10:50:00 UTC,23422.4,433.3144,Outlet
day,2023-07-14 11:00:00 UTC,11022.3,203.91255,Outlet
day,2023-07-14 11:10:00 UTC,10677.8,197.5393,Outlet
day,2023-07-14 11:20:00 UTC,24800.2,458.8037,Outlet
day,2023-07-14 11:30:00 UTC,26178,484.293,Outlet
day,2023-07-14 11:40:00 UTC,34444.7,637.22695,Outlet
day,2023-07-14 11:50:00 UTC,34444.7,637.22695,Outlet
day,2023-07-14 12:00:00 UTC,8266.7,152.93395,Outlet
day,2023-07-14 12:10:00 UTC,18600.1,344.10185,Outlet
day,2023-07-14 12:20:00 UTC,22044.6,407.8251,Outlet
day,2023-07-14 12:30:00 UTC,23422.4,433.3144,Outlet
day,2023-07-14 12:40:00 UTC,24800.2,458.8037,Outlet
day,2023-07-14 12:50:00 UTC,10333.4,191.1679,Outlet
day,2023-07-14 13:00:00 UTC,19289,356.8465,Outlet
day,2023-07-14 13:10:00 UTC,22044.6,407.8251,Outlet
day,2023-07-14 13:20:00 UTC,28933.5,535.26975,Outlet
day,2023-07-14 13:30:00 UTC,16533.4,305.8679,Outlet
day,2023-07-14 13:40:00 UTC,16533.4,305.8679,Outlet
day,2023-07-14 13:50:00 UTC,16533.4,305.8679,Outlet
day,2023-07-14 14:00:00 UTC,16533.4,305.8679,Outlet
day,2023-07-14 14:10:00 UTC,9644.5,178.42325,Outlet
day,2023-07-14 14:20:00 UTC,16533.4,305.8679,Outlet
day,2023-07-14 14:30:00 UTC,14466.8,267.6358,Outlet
day,2023-07-14 14:40:00 UTC,10333.4,191.1679,Outlet
day,2023-07-14 14:50:00 UTC,15155.7,280.38045,Outlet
day,2023-07-14 15:00:00 UTC,7577.8,140.1893,Outlet
day,2023-07-14 15:10:00 UTC,8611.2,159.3072,Outlet
day,2023-07-14 15:20:00 UTC,6544.5,121.07325,Outlet
day,2023-07-14 15:30:00 UTC,17911.2,331.3572,Outlet
day,2023-07-14 15:40:00 UTC,9644.5,178.42325,Outlet
day,2023-07-14 15:50:00 UTC,15155.7,280.38045,Outlet
day,2023-07-14 16:00:00 UTC,9644.5,178.42325,Outlet
day,2023-07-14 16:10:00 UTC,7233.4,133.8179,Outlet
day,2023-07-14 16:20:00 UTC,4994.5,92.39825,Outlet
day,2023-07-14 16:30:00 UTC,4650,86.025,Outlet
day,2023-07-14 16:40:00 UTC,4477.8,82.8393,Outlet
day,2023-07-14 16:50:00 UTC,7233.4,133.8179,Outlet
day,2023-07-14 17:00:00 UTC,5511.1,101.95535,Outlet
day,2023-07-14 17:10:00 UTC,3788.9,70.09465,Outlet
day,2023-07-14 17:20:00 UTC,3961.1,73.28035,Outlet
day,2023-07-14 17:30:00 UTC,2755.6,50.9786,Outlet
day,2023-07-14 17:40:00 UTC,2411.1,44.60535,Outlet
day,2023-07-14 17:50:00 UTC,2238.9,41.41965,Outlet
night,2023-07-14 18:00:00 UTC,1550,28.675,Outlet
night,2023-07-14 18:10:00 UTC,1011.8,18.7183,Outlet
night,2023-07-14 18:20:00 UTC,818.1,15.13485,Outlet
night,2023-07-14 18:30:00 UTC,279.9,5.17815,Outlet
night,2023-07-14 18:40:00 UTC,86.1,1.59285,Outlet
night,2023-07-14 18:50:00 UTC,21.5,0.39775,Outlet
night,2023-07-14 19:00:00 UTC,0,0,Outlet
night,2023-07-14 19:10:00 UTC,0,0,Outlet
night,2023-07-14 19:20:00 UTC,0,0,Outlet
night,2023-07-14 19:30:00 UTC,0,0,Outlet
night,2023-07-14 19:40:00 UTC,0,0,Outlet
night,2023-07-14 19:50:00 UTC,0,0,Outlet
night,2023-07-14 20:00:00 UTC,0,0,Outlet
night,2023-07-14 20:10:00 UTC,0,0,Outlet
