site,plot_id,plot,genet_id,bleach_cat
OT,OT1,OT_5,62,1
OT,OT1,OT_5,63,1
OT,OT1,OT_5,64,2
OT,OT1,OT_5,61,1
OT,OT1,OT_5,60,1
OT,OT1,OT_5,26,1
OT,OT1,OT_5,23,2
OT,OT1,OT_5,24,1
OT,OT1,OT_5,25,1
OT,OT1,OT_5,75,2
OT,OT1,OT_5,69,1
OT,OT1,OT_5,27,2
OT,OT1,OT_5,28,1
OT,OT1,OT_5,31,2
OT,OT1,OT_5,30,1
OT,OT1,OT_5,29,1
OT,OT1,OT_5,1,2
OT,OT1,OT_5,70,2
OT,OT1,OT_5,71,1
OT,OT1,OT_5,74,1
OT,OT1,OT_5,55,2
OT,OT1,OT_5,57,1
OT,OT1,OT_5,58,1
OT,OT1,OT_5,59,1
OT,OT1,OT_5,54,3
OT,OT1,OT_5,72,1
OT,OT1,OT_5,18,2
OT,OT1,OT_5,16,1
OT,OT1,OT_5,17,3
OT,OT1,OT_5,14,2
OT,OT1,OT_5,12,2
OT,OT1,OT_5,11,1
OT,OT1,OT_5,13,2
OT,OT1,OT_5,32,1
OT,OT1,OT_5,33,1
OT,OT1,OT_5,34,2
OT,OT1,OT_5,53,1
OT,OT1,OT_5,52,3
OT,OT1,OT_5,51,2
OT,OT1,OT_5,10,1
OT,OT1,OT_5,43,2
OT,OT1,OT_5,0,2
OT,OT1,OT_5,73,1
OT,OT2,OT_4,1,1
OT,OT2,OT_4,0,1
OT,OT2,OT_4,7,1
OT,OT2,OT_4,8,1
OT,OT2,OT_4,217,1
OT,OT2,OT_4,5,1
OT,OT2,OT_4,4,1
OT,OT2,OT_4,2,2
OT,OT2,OT_4,9,1
OT,OT2,OT_4,10,1
OT,OT2,OT_4,218,1
OT,OT2,OT_4,11,1
OT,OT2,OT_4,219,1
OT,OT2,OT_4,220,1
OT,OT2,OT_4,13,2
OT,OT2,OT_4,16,3
OT,OT2,OT_4,215,3
OT,OT2,OT_4,215,3
OT,OT2,OT_4,215,3
OT,OT2,OT_4,222,4
OT,OT2,OT_4,18,1
OT,OT2,OT_4,104,2
OT,OT2,OT_4,19,1
OT,OT2,OT_4,78,2
OT,OT2,OT_4,20,2
OT,OT2,OT_4,223,2
OT,OT2,OT_4,22,2
OT,OT2,OT_4,216,2
OT,OT2,OT_4,23,2
OT,OT2,OT_4,26,1
OT,OT2,OT_4,25,1
OT,OT2,OT_4,27,1
OT,OT2,OT_4,30,1
OT,OT2,OT_4,32,2
OT,OT2,OT_4,31,1
OT,OT2,OT_4,45,1
OT,OT2,OT_4,44,1
OT,OT2,OT_4,47,2
OT,OT2,OT_4,48,2
OT,OT2,OT_4,224,3
OT,OT2,OT_4,43,2
OT,OT2,OT_4,42,2
OT,OT2,OT_4,41,1
OT,OT2,OT_4,225,1
OT,OT2,OT_4,37,2
OT,OT2,OT_4,38,2
OT,OT2,OT_4,39,2
OT,OT2,OT_4,36,2
OT,OT2,OT_4,35,2
OT,OT2,OT_4,49,1
OT,OT2,OT_4,52,2
OT,OT2,OT_4,55,1
OT,OT2,OT_4,56,2
OT,OT2,OT_4,57,1
OT,OT2,OT_4,54,1
OT,OT2,OT_4,50,1
OT,OT2,OT_4,70,2
OT,OT2,OT_4,28,1
OT,OT2,OT_4,69,1
OT,OT2,OT_4,29,2
OT,OT2,OT_4,68,1
OT,OT2,OT_4,66,2
OT,OT2,OT_4,67,2
OT,OT2,OT_4,64,2
OT,OT2,OT_4,63,2
OT,OT2,OT_4,63,2
OT,OT2,OT_4,62,2
OT,OT2,OT_4,58,2
OT,OT2,OT_4,60,1
OT,OT2,OT_4,59,1
OT,OT2,OT_4,72,2
OT,OT2,OT_4,71,2
OT,OT2,OT_4,46,1
OT,OT2,OT_4,226,3
OT,OT2,OT_4,74,2
OT,OT2,OT_4,76,2
OT,OT2,OT_4,75,3
OT,OT2,OT_4,77,2
OT,OT2,OT_4,227,1
OT,OT2,OT_4,81,1
OT,OT2,OT_4,79,2
OT,OT2,OT_4,80,1
OT,OT2,OT_4,82,2
OT,OT2,OT_4,228,1
OT,OT2,OT_4,85,2
OT,OT2,OT_4,229,1
OT,OT2,OT_4,86,2
OT,OT2,OT_4,87,3
OT,OT2,OT_4,230,1
