site,bottle_ID,collection_date,ALK,pH ,PHOS,Ca,Mg,AMMO,NITRITE,NITRATE
Haikou,HK_B1,2022-03-16,6.4,8.2,0,388,1334,0,0,1
Haikou,HK_B2,2022-03-16,6.4,8.1,0.1,328,1294,0,0,0
Haikou,HK_B3,2022-03-16,6.3,8.1,0.1,368,1282,0,0,0
Haikou_reef.flat,HKS_B1,2022-03-16,6.6,8.1,0.1,383,1351,0,0,0
Haikou_reef.flat,HKS_B2,2022-03-16,6.3,8.2,0.2,392,1391,0,0,1
Haikou_reef.flat,HKS_B3,2022-03-16,6.2,8.1,0,367,1368,0,0,1
Inlet,IT_B1,2022-03-16,6.9,8.1,0.4,423,1311,0.1,0,1
Inlet,IT_B2,2022-03-16,6.9,8.1,0.1,396,1278,0,0,1
Inlet,IT_B3,2022-03-16,7,8.1,0.1,394,1273,0,0,0
Outlet,OT_B1,2022-03-16,7,8.2,0.1,389,1261,0,0,1
Outlet,OT_B2,2022-03-16,7,8.2,0.1,398,1273,0,0,0
Outlet,OT_B3,2022-03-16,6.6,8.2,0.1,412,1321,0,0,1
Haikou,HK_B1,2022-04-25,6.9,8.2,0.1,400,1315,0,0,1
Haikou,HK_B2,2022-04-25,6.8,8.2,0,394,1283,0,0,1
Haikou,HK_B3,2022-04-25,6.7,8.1,0.1,390,1365,0,0,0
Haikou_reef.flat,HKS_B1,2022-04-25,6.7,8.2,0,401,1374,0,0,0
Haikou_reef.flat,HKS_B2,2022-04-25,7.1,8.2,0,405,1268,0,0,0
Haikou_reef.flat,HKS_B3,2022-04-25,6.5,8.1,0,415,1289,0.1,0,1
Inlet,IT_B1,2022-04-25,7.1,8.2,0.1,395,1332,0,0,0
Inlet,IT_B2,2022-04-25,7,8.2,0,402,1298,0,0,1
Inlet,IT_B3,2022-04-25,7,8.2,0,414,1329,0,0,1
Outlet,OT_B1,2022-04-25,7,8.3,0,385,1370,0,0,0
Outlet,OT_B2,2022-04-25,6.9,8.3,0,393,1362,0,0,1
Outlet,OT_B3,2022-04-25,6.8,8.3,0,403,1365,0,0,1
Haikou,HK_B1,2022-05-26,6.2,8.2,0.1,370,1145,0.1,0,1
Haikou,HK_B2,2022-05-26,6.7,8.2,0.1,367,1134,0,0,0
Haikou,HK_B3,2022-05-26,6.1,8.2,0.1,364,1119,0.1,0,1
Haikou_reef.flat,HKS_B1,2022-05-26,6.1,8.2,0.1,369,1109,0,0,1
Haikou_reef.flat,HKS_B2,2022-05-26,6.5,8.2,0.1,357,1124,0,0,1
Haikou_reef.flat,HKS_B3,2022-05-26,6.3,8.2,0.1,365,1119,0,0,0
Inlet,IT_B1,2022-05-26,6.4,8.2,0,394,1166,0,0,1
Inlet,IT_B2,2022-05-26,6.2,8.2,0,383,1174,0,0,1
Inlet,IT_B3,2022-05-26,6.6,8.2,0.1,373,1219,0,0,0
Outlet,OT_B1,2022-05-26,6.3,8.1,0.1,397,1018,0,0,1
Outlet,OT_B2,2022-05-26,6.3,8.1,0.1,368,1198,0.1,0,0
Outlet,OT_B3,2022-05-26,6.2,8.1,0.1,369,1183,0,0,1
Haikou,HK_B1,2022-07-06,6.2,8.1,0,390,1135,0.1,0,1
Haikou,HK_B2,2022-07-06,6.1,8.2,0.1,375,1131,0,0,1
Haikou,HK_B3,2022-07-06,6.2,8.2,0.2,364,1178,0.1,0,0
Haikou_reef.flat,HKS_B1,2022-07-06,6.3,8.2,0.1,361,1125,0,0,1
Haikou_reef.flat,HKS_B2,2022-07-06,6.1,8.2,0.2,343,1226,0,0,0
Haikou_reef.flat,HKS_B3,2022-07-06,6.3,8.2,0.2,368,1169,0,0,0
Inlet,IT_B1,2022-07-06,6.5,8.2,0.1,378,1185,0,0,1
Inlet,IT_B2,2022-07-06,5.9,8.2,0.1,355,1236,0,0,0
Inlet,IT_B3,2022-07-06,6.3,8.2,0.1,360,1222,0,0,1
Outlet,OT_B1,2022-07-06,6.2,8.1,0.2,373,1209,0.1,0,0
Outlet,OT_B2,2022-07-06,6.3,8.1,0.2,358,1234,0,0,0
Outlet,OT_B3,2022-07-06,6.6,8.1,0.1,361,1195,0,0,1
Haikou,HK_B1,2022-08-18,6.5,8.2,0.1,359,1177,0,0,1
Haikou,HK_B2,2022-08-18,6.3,8.2,0.1,376,1226,0,0,1
Haikou,HK_B3,2022-08-18,6.4,8.2,0,362,1177,0,0,1
Haikou_reef.flat,HKS_B1,2022-08-18,6.3,8.2,0.2,347,1241,0,0,0
Haikou_reef.flat,HKS_B2,2022-08-18,6.2,8.3,0.1,354,1179,0,0,1
Haikou_reef.flat,HKS_B3,2022-08-18,6.5,8.3,0.1,360,1155,0,0,1
Inlet,IT_B1,2022-08-18,6.1,8.1,0.2,370,1260,0.1,0,0
Inlet,IT_B2,2022-08-18,6.3,8.1,0.1,372,1217,0.1,0,1
Inlet,IT_B3,2022-08-18,6.2,8.1,0.1,354,1196,0.1,0,1
Outlet,OT_B1,2022-08-18,6.7,8.3,0.2,354,1195,0.1,0,1
Outlet,OT_B2,2022-08-18,6.5,8.2,0.2,366,1177,0.1,0,1
Outlet,OT_B3,2022-08-18,6.7,8.5,0.2,373,1252,0,0,1
Haikou,HK_B1,2022-09-16,6.2,8.2,0.2,353,1207,0.1,0,1
Haikou,HK_B2,2022-09-16,6.5,8.2,0.2,359,1229,0.1,0,0
Haikou,HK_B3,2022-09-16,6.4,8.2,0.2,362,1205,0.1,0,1
Haikou_reef.flat,HKS_B1,2022-09-16,6,8.4,0.2,354,1287,0,0,0
Haikou_reef.flat,HKS_B2,2022-09-16,6.2,8.3,0.2,371,1253,0.1,0,0
Haikou_reef.flat,HKS_B3,2022-09-16,6.2,8.4,0.2,359,1251,0,0,1
Inlet,IT_B1,2022-09-16,6.4,8.2,0.1,368,1199,0.1,0,1
Inlet,IT_B2,2022-09-16,6.4,8.2,0.2,356,1214,0.1,0,1
Inlet,IT_B3,2022-09-16,6.1,8.2,0.2,340,1250,0,0,0
Outlet,OT_B1,2022-09-16,6.3,8.2,0.2,370,1210,0.1,0,0
Outlet,OT_B2,2022-09-16,6.4,8.2,0.2,367,1238,0.1,0,1
Outlet,OT_B3,2022-09-16,6.6,8.2,0.1,361,1228,0.1,0,0
Haikou,HK_B1,2022-10-28,NA,NA,NA,NA,NA,NA,NA,NA
Haikou,HK_B2,2022-10-28,NA,NA,NA,NA,NA,NA,NA,NA
Haikou,HK_B3,2022-10-28,NA,NA,NA,NA,NA,NA,NA,NA
Haikou_reef.flat,HKS_B1,2022-10-28,6.3,8.3,0.2,367,1182,0.1,0,0
Haikou_reef.flat,HKS_B2,2022-10-28,6.4,8.2,0.2,380,1214,0.1,0,0
Haikou_reef.flat,HKS_B3,2022-10-28,6.2,8.2,0.2,358,1246,0.1,0,0
Inlet,IT_B1,2022-10-28,6.6,8.2,0.2,368,1208,0,0,0
Inlet,IT_B2,2022-10-28,6.6,8.2,0.2,380,1161,0.1,0,0
Inlet,IT_B3,2022-10-28,6.3,8.2,0.2,364,1207,0.1,0,0
Outlet,OT_B1,2022-10-28,6.4,8.2,0.2,389,1174,0,0,0
Outlet,OT_B2,2022-10-28,6.3,8.2,0.2,366,1188,0.1,0,0
Outlet,OT_B3,2022-10-28,6.3,8.2,0.2,384,1204,0,0,1
Haikou,HK_B1,2022-11-29,6.5,8.2,0.2,368,1202,0,0,0
Haikou,HK_B2,2022-11-29,7.2,8.2,0.1,439,1309,0,0,0
Haikou,HK_B3,2022-11-29,6.9,8.2,0.1,441,1302,0,0,0
Haikou_reef.flat,HKS_B1,2022-11-29,6.7,8.3,0.2,414,1322,0,0,0
Haikou_reef.flat,HKS_B2,2022-11-29,6.3,8.4,0.1,417,1320,0.2,0,0
Haikou_reef.flat,HKS_B3,2022-11-29,6.4,8.3,0.1,410,1364,0.1,0,0
Inlet,IT_B1,2022-11-29,6.9,8.2,0,483,1080,0,0,2
Inlet,IT_B2,2022-11-29,6.3,8.1,0.2,373,1169,0.1,0,0
Inlet,IT_B3,2022-11-29,6.4,8.1,0.2,373,1190,0.1,0,1
Outlet,OT_B1,2022-11-29,6.3,8.1,0.2,381,1177,0.1,0,1
Outlet,OT_B2,2022-11-29,6.2,8.2,0.2,364,1205,0.1,0,2
Outlet,OT_B3,2022-11-29,6.3,8.2,0.2,375,1171,0,0,1
Haikou,HK_B1,2022-12-28,6.4,8.2,0.1,415,1184,0,0,1
Haikou,HK_B2,2022-12-28,6.3,8.2,0,415,1194,0,0,1
Haikou,HK_B3,2022-12-28,6.3,8.2,0.1,411,1247,0,0,1
Haikou_reef.flat,HKS_B1,2022-12-28,6.4,8.2,0.1,426,1209,0,0,1
Haikou_reef.flat,HKS_B2,2022-12-28,6,8.2,0.1,414,1237,0,0,0
Haikou_reef.flat,HKS_B3,2022-12-28,6.6,8.2,0.1,429,1204,0,0,1
Inlet,IT_B1,2022-12-28,6.4,8.2,0,444,1226,0,0,0
Inlet,IT_B2,2022-12-28,6.1,8.2,0.1,447,1272,0,0,1
Inlet,IT_B3,2022-12-28,6.5,8.2,0.1,439,1232,0,0,1
Outlet,OT_B1,2022-12-28,6.2,8.2,0.1,415,1227,0,0,0
Outlet,OT_B2,2022-12-28,6.5,8.1,0.1,413,1184,0,0,1
Outlet,OT_B3,2022-12-28,6.6,8.2,0.1,421,1215,0,0,1
