coral_id,tank,treatment,site,surface_area_cm2,protein_mg_cm2,RAW
T1-OT1,T1,30,OT,3.145588,0.196,0.196
T1-OT2,T1,30,OT,6.565172,0.116,0.116
T1-OT3,T1,30,OT,2.4616712,0.053,0.053
T1-OT4,T1,30,OT,2.77202,0.071,0.071
T1-OT5,T1,30,OT,4.5651464,0.138,0.138
T1-OT6,T1,30,OT,4.8065288,0.073,0.073
T1-IT1,T1,30,IT,2.7317896,0.075,0.075
T1-IT2,T1,30,IT,1.9501704,0.026,0.026
T1-IT3,T1,30,IT,3.4731784,0.283,0.283
T1-IT4,T1,30,IT,3.260532,0.132,0.132
T1-IT5,T1,30,IT,2.7030536,0.149,0.149
T1-IT6,T1,30,IT,2.743284,0.146,0.146
T1-HK1,T1,30,HK,2.2777608,0.092,0.092
T1-HK2,T1,30,HK,2.1283336,0.117,0.117
T1-HK3,T1,30,HK,2.8352392,0.065,0.065
T1-HK4,T1,30,HK,3.2260488,0.114,0.114
T1-HK5,T1,30,HK,2.4156936,0.163,0.163
T1-HK6,T1,30,HK,3.547892,0.156,0.156
T1-HKS1,T1,30,HKS,2.8122504,0.088,0.088
T1-HKS2,T1,30,HKS,5.444468,0.143,0.143
T1-HKS3,T1,30,HKS,3.1685768,0.179,0.179
T1-HKS4,T1,30,HKS,3.4214536,0.127,0.127
T1-HKS5,T1,30,HKS,2.657076,0.176,0.176
T1-HKS6,T1,30,HKS,2.3064968,0.302,0.302
T2-OT1,T2,33,OT,11.9445512,0.038,0.038
T2-OT2,T2,33,OT,3.7432968,0.081,0.081
T2-OT3,T2,33,OT,3.2950152,0.076,0.076
T2-OT4,T2,33,OT,4.5421576,0.121,0.121
T2-OT5,T2,33,OT,3.9042184,0.062,0.062
T2-OT6,T2,33,OT,2.9559304,0.102,0.102
T2-IT1,T2,33,IT,8.4732424,0.136,0.136
T2-IT2,T2,33,IT,2.0995976,0.072,0.072
T2-IT3,T2,33,IT,3.289268,0.094,0.094
T2-IT4,T2,33,IT,2.657076,0.112,0.112
T2-IT5,T2,33,IT,3.8812296,0.134,0.134
T2-IT6,T2,33,IT,2.5823624,0.277,0.277
T2-HK1,T2,33,HK,3.0766216,0.159,0.159
T2-HK2,T2,33,HK,4.0708872,0.184,0.184
T2-HK3,T2,33,HK,3.6398472,0.314,0.314
T2-HK4,T2,33,HK,4.0421512,0.214,0.214
T2-HK5,T2,33,HK,2.4904072,0.136,0.136
T2-HK6,T2,33,HK,3.8524936,0.307,0.307
T2-HKS1,T2,33,HKS,2.599604,0.171,0.171
T2-HKS2,T2,33,HKS,3.231796,0.314,0.314
T2-HKS3,T2,33,HKS,2.312244,0.295,0.295
T2-HKS4,T2,33,HKS,3.3927176,0.2,0.2
T2-HKS5,T2,33,HKS,2.5363848,0.164,0.164
T2-HKS6,T2,33,HKS,3.0766216,0.18,0.18
T3-OT1,T3,36,OT,7.5019656,0.001,0.001
T3-OT2,T3,36,OT,7.6169096,0.018,0.018
T3-OT3,T3,36,OT,7.8410504,0.024,0.024
T3-OT4,T3,36,OT,7.0479368,0.008,0.008
T3-OT5,T3,36,OT,7.1169032,0.068,0.068
T3-OT6,T3,36,OT,9.8295816,0,0
T3-IT1,T3,36,IT,4.3467528,0.044,0.044
T3-IT2,T3,36,IT,13.11698,0.017,0.017
T3-IT3,T3,36,IT,8.2203656,0.008,0.008
T3-IT4,T3,36,IT,6.6571272,0.065,0.065
T3-IT5,T3,36,IT,7.0077064,0.145,0.145
T3-IT6,T3,36,IT,7.7376008,0.14,0.14
T3-HK1,T3,36,HK,5.1973384,0.068,0.068
T3-HK2,T3,36,HK,3.6341,0.067,0.067
T3-HK3,T3,36,HK,5.099636,0.055,0.055
T3-HK4,T3,36,HK,8.116916,0.007,0.007
T3-HK5,T3,36,HK,6.1571208,0.039,0.039
T3-HK6,T3,36,HK,3.691572,0.193,0.193
T3-HKS1,T3,36,HKS,6.3295368,0.038,0.038
T3-HKS2,T3,36,HKS,6.6398856,0.052,0.052
T3-HKS3,T3,36,HKS,4.8754952,0.006,0.006
T3-HKS4,T3,36,HKS,10.9215496,0.053,0.053
T3-HKS5,T3,36,HKS,5.2950408,0.008,0.008
T3-HKS6,T3,36,HKS,8.6973832,0.045,0.045
T4-OT1,T4,39,OT,6.8467848,0,-0.004
T4-OT2,T4,39,OT,10.6571784,0,-0.003
T4-OT3,T4,39,OT,8.8870408,0,-0.003
T4-OT4,T4,39,OT,8.3123208,0,-0.002
T4-OT5,T4,39,OT,13.9675656,0,-0.002638202
T4-OT6,T4,39,OT,9.7950984,0,-0.00453138
T4-IT1,T4,39,IT,11.3813256,0,-0.002796505
T4-IT2,T4,39,IT,4.8467592,0,-0.000360108
T4-IT3,T4,39,IT,6.5019528,0,-0.002194775
T4-IT4,T4,39,IT,6.5709192,0,-0.009433755
T4-IT5,T4,39,IT,6.4387336,0,-0.008455232
T4-IT6,T4,39,IT,5.6915976,0,-0.007356942
T4-HK1,T4,39,HK,4.2318088,0,-0.014053583
T4-HK2,T4,39,HK,5.9157384,0,-0.004955946
T4-HK3,T4,39,HK,9.0537096,0,-0.001576185
T4-HK4,T4,39,HK,5.703092,0,-0.006461278
T4-HK5,T4,39,HK,5.2663048,0,-0.011292943
T4-HK6,T4,39,HK,7.024948,0,-0.000604883
T4-HKS1,T4,39,HKS,14.9445896,0,-0.003306351
T4-HKS2,T4,39,HKS,9.4732552,0,-0.005481353
T4-HKS3,T4,39,HKS,4.5076744,0,-0.014868598
T4-HKS4,T4,39,HKS,10.3123464,0.002,0.002255961
T4-HKS5,T4,39,HKS,5.0479112,0,-0.013776153
T4-HKS6,T4,39,HKS,10.0077448,0.006,0.006063138
T14-OT1,T14,27,OT,2.8409864,0.079,0.079
T14-OT2,T14,27,OT,4.2892808,0.061,0.061
T14-OT3,T14,27,OT,1.450164,0.095,0.095
T14-OT4,T14,27,OT,5.616884,0.125,0.125
T14-OT5,T14,27,OT,3.030644,0.099,0.099
T14-OT6,T14,27,OT,5.042164,0.087,0.087
T14-IT1,T14,27,IT,1.8582152,0.061,0.061
T14-IT2,T14,27,IT,2.6743176,0.069,0.069
T14-IT3,T14,27,IT,3.4559368,0.231,0.231
T14-IT4,T14,27,IT,3.5938696,0.236,0.236
T14-IT5,T14,27,IT,5.6341256,0.128,0.128
T14-IT6,T14,27,IT,2.2605192,0.032,0.032
T14-HK1,T14,27,HK,2.1570696,0.074,0.074
T14-HK2,T14,27,HK,3.576628,0.236,0.236
T14-HK3,T14,27,HK,2.657076,0.114,0.114
T14-HK4,T14,27,HK,2.3869576,0.09,0.09
T14-HK5,T14,27,HK,2.6398344,0.133,0.133
T14-HK6,T14,27,HK,2.398452,0.07,0.07
T14-HKS1,T14,27,HKS,3.8697352,0.174,0.174
T14-HKS2,T14,27,HKS,2.2375304,0.051,0.051
T14-HKS3,T14,27,HKS,5.3525128,0.196,0.196
T14-HKS4,T14,27,HKS,3.0478856,0.239,0.239
T14-HKS5,T14,27,HKS,1.4616584,0.154,0.154
T14-HKS6,T14,27,HKS,2.6168456,0.254,0.254
