date,DateTime,timeline,day_night,temp,lux,PAR
03/16/22 12:00:00  PM,2022-03-16 12:00:00 UTC,1,day,26.488,33066.9,611.73765
03/16/22 12:10:00  PM,2022-03-16 12:10:00 UTC,2,day,26.585,9644.5,178.42325
03/16/22 12:20:00  PM,2022-03-16 12:20:00 UTC,3,day,26.585,35822.5,662.71625
03/16/22 12:30:00  PM,2022-03-16 12:30:00 UTC,4,day,26.39,7233.4,133.8179
03/16/22 12:40:00  PM,2022-03-16 12:40:00 UTC,5,day,26.39,12400.1,229.40185
03/16/22 12:50:00  PM,2022-03-16 12:50:00 UTC,6,day,26.585,24800.2,458.8037
03/16/22 01:00:00  PM,2022-03-16 13:00:00 UTC,7,day,26.585,21355.7,395.08045
03/16/22 01:10:00  PM,2022-03-16 13:10:00 UTC,8,day,26.585,22044.6,407.8251
03/16/22 01:20:00  PM,2022-03-16 13:20:00 UTC,9,day,26.683,24800.2,458.8037
03/16/22 01:30:00  PM,2022-03-16 13:30:00 UTC,10,day,26.683,24800.2,458.8037
03/16/22 01:40:00  PM,2022-03-16 13:40:00 UTC,11,day,26.585,19289,356.8465
03/16/22 01:50:00  PM,2022-03-16 13:50:00 UTC,12,day,26.585,3100,57.35
03/16/22 02:00:00  PM,2022-03-16 14:00:00 UTC,13,day,26.488,4133.4,76.4679
03/16/22 02:10:00  PM,2022-03-16 14:10:00 UTC,14,day,26.488,6200,114.7
03/16/22 02:20:00  PM,2022-03-16 14:20:00 UTC,15,day,26.488,7577.8,140.1893
03/16/22 02:30:00  PM,2022-03-16 14:30:00 UTC,16,day,26.488,7233.4,133.8179
03/16/22 02:40:00  PM,2022-03-16 14:40:00 UTC,17,day,26.488,6200,114.7
03/16/22 02:50:00  PM,2022-03-16 14:50:00 UTC,18,day,26.488,5166.7,95.58395
03/16/22 03:00:00  PM,2022-03-16 15:00:00 UTC,19,day,26.488,3444.5,63.72325
03/16/22 03:10:00  PM,2022-03-16 15:10:00 UTC,20,day,26.488,3100,57.35
03/16/22 03:20:00  PM,2022-03-16 15:20:00 UTC,21,day,26.488,5511.1,101.95535
03/16/22 03:30:00  PM,2022-03-16 15:30:00 UTC,22,day,26.488,3272.2,60.5357
03/16/22 03:40:00  PM,2022-03-16 15:40:00 UTC,23,day,26.488,4822.3,89.21255
03/16/22 03:50:00  PM,2022-03-16 15:50:00 UTC,24,day,26.488,3272.2,60.5357
03/16/22 04:00:00  PM,2022-03-16 16:00:00 UTC,25,day,26.488,3616.7,66.90895
03/16/22 04:10:00  PM,2022-03-16 16:10:00 UTC,26,day,26.488,3100,57.35
03/16/22 04:20:00  PM,2022-03-16 16:20:00 UTC,27,day,26.488,2755.6,50.9786
03/16/22 04:30:00  PM,2022-03-16 16:30:00 UTC,28,day,26.488,2669.5,49.38575
03/16/22 04:40:00  PM,2022-03-16 16:40:00 UTC,29,day,26.488,2583.4,47.7929
03/16/22 04:50:00  PM,2022-03-16 16:50:00 UTC,30,day,26.488,2325,43.0125
03/16/22 05:00:00  PM,2022-03-16 17:00:00 UTC,31,day,26.488,1722.2,31.8607
03/16/22 05:10:00  PM,2022-03-16 17:10:00 UTC,32,day,26.488,1550,28.675
03/16/22 05:20:00  PM,2022-03-16 17:20:00 UTC,33,day,26.488,979.5,18.12075
03/16/22 05:30:00  PM,2022-03-16 17:30:00 UTC,34,day,26.488,624.3,11.54955
03/16/22 05:40:00  PM,2022-03-16 17:40:00 UTC,35,day,26.488,376.7,6.96895
03/16/22 05:50:00  PM,2022-03-16 17:50:00 UTC,36,day,26.39,312.2,5.7757
03/16/22 06:00:00  PM,2022-03-16 18:00:00 UTC,37,night,26.39,118.4,2.1904
03/16/22 06:10:00  PM,2022-03-16 18:10:00 UTC,38,night,26.39,10.8,0.1998
03/16/22 06:20:00  PM,2022-03-16 18:20:00 UTC,39,night,26.39,0,0
03/16/22 06:30:00  PM,2022-03-16 18:30:00 UTC,40,night,26.39,0,0
03/16/22 06:40:00  PM,2022-03-16 18:40:00 UTC,41,night,26.39,0,0
03/16/22 06:50:00  PM,2022-03-16 18:50:00 UTC,42,night,26.39,0,0
03/16/22 07:00:00  PM,2022-03-16 19:00:00 UTC,43,night,26.39,0,0
03/16/22 07:10:00  PM,2022-03-16 19:10:00 UTC,44,night,26.39,0,0
03/16/22 07:20:00  PM,2022-03-16 19:20:00 UTC,45,night,26.39,0,0
03/16/22 07:30:00  PM,2022-03-16 19:30:00 UTC,46,night,26.39,0,0
03/16/22 07:40:00  PM,2022-03-16 19:40:00 UTC,47,night,26.39,0,0
03/16/22 07:50:00  PM,2022-03-16 19:50:00 UTC,48,night,26.292,0,0
03/16/22 08:00:00  PM,2022-03-16 20:00:00 UTC,49,night,26.292,0,0
03/16/22 08:10:00  PM,2022-03-16 20:10:00 UTC,50,night,26.39,0,0
03/16/22 08:20:00  PM,2022-03-16 20:20:00 UTC,51,night,26.292,0,0
03/16/22 08:30:00  PM,2022-03-16 20:30:00 UTC,52,night,26.292,0,0
03/16/22 08:40:00  PM,2022-03-16 20:40:00 UTC,53,night,26.292,0,0
03/16/22 08:50:00  PM,2022-03-16 20:50:00 UTC,54,night,26.292,0,0
03/16/22 09:00:00  PM,2022-03-16 21:00:00 UTC,55,night,26.292,0,0
03/16/22 09:10:00  PM,2022-03-16 21:10:00 UTC,56,night,26.292,0,0
03/16/22 09:20:00  PM,2022-03-16 21:20:00 UTC,57,night,26.292,0,0
03/16/22 09:30:00  PM,2022-03-16 21:30:00 UTC,58,night,26.292,0,0
03/16/22 09:40:00  PM,2022-03-16 21:40:00 UTC,59,night,26.292,0,0
03/16/22 09:50:00  PM,2022-03-16 21:50:00 UTC,60,night,26.292,0,0
03/16/22 10:00:00  PM,2022-03-16 22:00:00 UTC,61,night,26.292,0,0
03/16/22 10:10:00  PM,2022-03-16 22:10:00 UTC,62,night,26.292,0,0
03/16/22 10:20:00  PM,2022-03-16 22:20:00 UTC,63,night,26.292,0,0
03/16/22 10:30:00  PM,2022-03-16 22:30:00 UTC,64,night,26.292,0,0
03/16/22 10:40:00  PM,2022-03-16 22:40:00 UTC,65,night,26.195,0,0
03/16/22 10:50:00  PM,2022-03-16 22:50:00 UTC,66,night,26.195,0,0
03/16/22 11:00:00  PM,2022-03-16 23:00:00 UTC,67,night,26.195,0,0
03/16/22 11:10:00  PM,2022-03-16 23:10:00 UTC,68,night,26.195,0,0
03/16/22 11:20:00  PM,2022-03-16 23:20:00 UTC,69,night,26.195,0,0
03/16/22 11:30:00  PM,2022-03-16 23:30:00 UTC,70,night,26.195,0,0
03/16/22 11:40:00  PM,2022-03-16 23:40:00 UTC,71,night,26.195,0,0
03/16/22 11:50:00  PM,2022-03-16 23:50:00 UTC,72,night,26.195,0,0
03/17/22 12:00:00  AM,2022-03-17 00:00:00 UTC,73,night,26.195,0,0
03/17/22 12:10:00  AM,2022-03-17 00:10:00 UTC,74,night,26.195,0,0
03/17/22 12:20:00  AM,2022-03-17 00:20:00 UTC,75,night,26.195,0,0
03/17/22 12:30:00  AM,2022-03-17 00:30:00 UTC,76,night,26.195,0,0
03/17/22 12:40:00  AM,2022-03-17 00:40:00 UTC,77,night,26.195,0,0
03/17/22 12:50:00  AM,2022-03-17 00:50:00 UTC,78,night,26.097,0,0
03/17/22 01:00:00  AM,2022-03-17 01:00:00 UTC,79,night,26.097,0,0
03/17/22 01:10:00  AM,2022-03-17 01:10:00 UTC,80,night,26.097,0,0
03/17/22 01:20:00  AM,2022-03-17 01:20:00 UTC,81,night,26.097,0,0
03/17/22 01:30:00  AM,2022-03-17 01:30:00 UTC,82,night,26.097,0,0
03/17/22 01:40:00  AM,2022-03-17 01:40:00 UTC,83,night,26.097,0,0
03/17/22 01:50:00  AM,2022-03-17 01:50:00 UTC,84,night,26.097,0,0
03/17/22 02:00:00  AM,2022-03-17 02:00:00 UTC,85,night,26.097,0,0
03/17/22 02:10:00  AM,2022-03-17 02:10:00 UTC,86,night,26.097,0,0
03/17/22 02:20:00  AM,2022-03-17 02:20:00 UTC,87,night,26.097,0,0
03/17/22 02:30:00  AM,2022-03-17 02:30:00 UTC,88,night,26.097,0,0
03/17/22 02:40:00  AM,2022-03-17 02:40:00 UTC,89,night,26.097,0,0
03/17/22 02:50:00  AM,2022-03-17 02:50:00 UTC,90,night,26,0,0
03/17/22 03:00:00  AM,2022-03-17 03:00:00 UTC,91,night,26,0,0
03/17/22 03:10:00  AM,2022-03-17 03:10:00 UTC,92,night,26,0,0
03/17/22 03:20:00  AM,2022-03-17 03:20:00 UTC,93,night,26,0,0
03/17/22 03:30:00  AM,2022-03-17 03:30:00 UTC,94,night,26,0,0
03/17/22 03:40:00  AM,2022-03-17 03:40:00 UTC,95,night,26,0,0
03/17/22 03:50:00  AM,2022-03-17 03:50:00 UTC,96,night,26,0,0
03/17/22 04:00:00  AM,2022-03-17 04:00:00 UTC,97,night,26,0,0
03/17/22 04:10:00  AM,2022-03-17 04:10:00 UTC,98,night,26,0,0
03/17/22 04:20:00  AM,2022-03-17 04:20:00 UTC,99,night,25.902,0,0
03/17/22 04:30:00  AM,2022-03-17 04:30:00 UTC,100,night,25.902,0,0
03/17/22 04:40:00  AM,2022-03-17 04:40:00 UTC,101,night,25.902,0,0
03/17/22 04:50:00  AM,2022-03-17 04:50:00 UTC,102,night,25.902,0,0
03/17/22 05:00:00  AM,2022-03-17 05:00:00 UTC,103,night,25.902,0,0
03/17/22 05:10:00  AM,2022-03-17 05:10:00 UTC,104,night,25.902,0,0
03/17/22 05:20:00  AM,2022-03-17 05:20:00 UTC,105,night,25.902,0,0
03/17/22 05:30:00  AM,2022-03-17 05:30:00 UTC,106,night,25.902,0,0
03/17/22 05:40:00  AM,2022-03-17 05:40:00 UTC,107,night,25.902,0,0
03/17/22 05:50:00  AM,2022-03-17 05:50:00 UTC,108,night,25.902,0,0
03/17/22 06:00:00  AM,2022-03-17 06:00:00 UTC,109,day,25.902,10.8,0.1998
03/17/22 06:10:00  AM,2022-03-17 06:10:00 UTC,110,day,25.902,43.1,0.79735
03/17/22 06:20:00  AM,2022-03-17 06:20:00 UTC,111,day,25.902,258.3,4.77855
03/17/22 06:30:00  AM,2022-03-17 06:30:00 UTC,112,day,25.805,376.7,6.96895
03/17/22 06:40:00  AM,2022-03-17 06:40:00 UTC,113,day,25.902,753.5,13.93975
03/17/22 06:50:00  AM,2022-03-17 06:50:00 UTC,114,day,25.805,968.8,17.9228
03/17/22 07:00:00  AM,2022-03-17 07:00:00 UTC,115,day,25.805,882.6,16.3281
03/17/22 07:10:00  AM,2022-03-17 07:10:00 UTC,116,day,25.805,1205.6,22.3036
03/17/22 07:20:00  AM,2022-03-17 07:20:00 UTC,117,day,25.805,871.9,16.13015
03/17/22 07:30:00  AM,2022-03-17 07:30:00 UTC,118,day,25.805,1636.1,30.26785
03/17/22 07:40:00  AM,2022-03-17 07:40:00 UTC,119,day,25.805,2411.1,44.60535
03/17/22 07:50:00  AM,2022-03-17 07:50:00 UTC,120,day,25.902,2152.8,39.8268
03/17/22 08:00:00  AM,2022-03-17 08:00:00 UTC,121,day,25.902,2152.8,39.8268
03/17/22 08:10:00  AM,2022-03-17 08:10:00 UTC,122,day,25.902,2927.8,54.1643
03/17/22 08:20:00  AM,2022-03-17 08:20:00 UTC,123,day,25.902,2066.7,38.23395
03/17/22 08:30:00  AM,2022-03-17 08:30:00 UTC,124,day,25.902,3616.7,66.90895
03/17/22 08:40:00  AM,2022-03-17 08:40:00 UTC,125,day,25.805,2755.6,50.9786
03/17/22 08:50:00  AM,2022-03-17 08:50:00 UTC,126,day,25.902,3444.5,63.72325
03/17/22 09:00:00  AM,2022-03-17 09:00:00 UTC,127,day,25.902,4133.4,76.4679
03/17/22 09:10:00  AM,2022-03-17 09:10:00 UTC,128,day,25.902,4133.4,76.4679
03/17/22 09:20:00  AM,2022-03-17 09:20:00 UTC,129,day,26,4994.5,92.39825
03/17/22 09:30:00  AM,2022-03-17 09:30:00 UTC,130,day,26,5166.7,95.58395
03/17/22 09:40:00  AM,2022-03-17 09:40:00 UTC,131,day,26,5338.9,98.76965
03/17/22 09:50:00  AM,2022-03-17 09:50:00 UTC,132,day,26,5166.7,95.58395
03/17/22 10:00:00  AM,2022-03-17 10:00:00 UTC,133,day,26,6544.5,121.07325
03/17/22 10:10:00  AM,2022-03-17 10:10:00 UTC,134,day,26.097,8611.2,159.3072
03/17/22 10:20:00  AM,2022-03-17 10:20:00 UTC,135,day,26.097,6200,114.7
03/17/22 10:30:00  AM,2022-03-17 10:30:00 UTC,136,day,26.097,8266.7,152.93395
03/17/22 10:40:00  AM,2022-03-17 10:40:00 UTC,137,day,26.195,11711.2,216.6572
03/17/22 10:50:00  AM,2022-03-17 10:50:00 UTC,138,day,26.097,5511.1,101.95535
03/17/22 11:00:00  AM,2022-03-17 11:00:00 UTC,139,day,26.195,12400.1,229.40185
03/17/22 11:10:00  AM,2022-03-17 11:10:00 UTC,140,day,26.39,17911.2,331.3572
03/17/22 11:20:00  AM,2022-03-17 11:20:00 UTC,141,day,26.488,16533.4,305.8679
03/17/22 11:30:00  AM,2022-03-17 11:30:00 UTC,142,day,26.292,8611.2,159.3072
03/17/22 11:40:00  AM,2022-03-17 11:40:00 UTC,143,day,26.292,8611.2,159.3072
03/17/22 11:50:00  AM,2022-03-17 11:50:00 UTC,144,day,26.292,9300.1,172.05185
03/17/22 12:00:00  PM,2022-03-17 12:00:00 UTC,145,day,26.39,11711.2,216.6572
03/17/22 12:10:00  PM,2022-03-17 12:10:00 UTC,146,day,26.488,15844.5,293.12325
03/17/22 12:20:00  PM,2022-03-17 12:20:00 UTC,147,day,26.488,9300.1,172.05185
03/17/22 12:30:00  PM,2022-03-17 12:30:00 UTC,148,day,26.488,11711.2,216.6572
03/17/22 12:40:00  PM,2022-03-17 12:40:00 UTC,149,day,26.292,6200,114.7
03/17/22 12:50:00  PM,2022-03-17 12:50:00 UTC,150,day,26.39,6544.5,121.07325
03/17/22 01:00:00  PM,2022-03-17 13:00:00 UTC,151,day,26.292,2411.1,44.60535
03/17/22 01:10:00  PM,2022-03-17 13:10:00 UTC,152,day,26.292,2583.4,47.7929
03/17/22 01:20:00  PM,2022-03-17 13:20:00 UTC,153,day,26.292,2411.1,44.60535
03/17/22 01:30:00  PM,2022-03-17 13:30:00 UTC,154,day,26.292,2755.6,50.9786
03/17/22 01:40:00  PM,2022-03-17 13:40:00 UTC,155,day,26.39,4305.6,79.6536
03/17/22 01:50:00  PM,2022-03-17 13:50:00 UTC,156,day,26.39,3100,57.35
03/17/22 02:00:00  PM,2022-03-17 14:00:00 UTC,157,day,26.488,7577.8,140.1893
03/17/22 02:10:00  PM,2022-03-17 14:10:00 UTC,158,day,26.39,2497.2,46.1982
03/17/22 02:20:00  PM,2022-03-17 14:20:00 UTC,159,day,26.39,2927.8,54.1643
03/17/22 02:30:00  PM,2022-03-17 14:30:00 UTC,160,day,26.39,3444.5,63.72325
03/17/22 02:40:00  PM,2022-03-17 14:40:00 UTC,161,day,26.39,1377.8,25.4893
03/17/22 02:50:00  PM,2022-03-17 14:50:00 UTC,162,day,26.39,2325,43.0125
03/17/22 03:00:00  PM,2022-03-17 15:00:00 UTC,163,day,26.488,5511.1,101.95535
03/17/22 03:10:00  PM,2022-03-17 15:10:00 UTC,164,day,26.488,5166.7,95.58395
03/17/22 03:20:00  PM,2022-03-17 15:20:00 UTC,165,day,26.488,3961.1,73.28035
03/17/22 03:30:00  PM,2022-03-17 15:30:00 UTC,166,day,26.488,5166.7,95.58395
03/17/22 03:40:00  PM,2022-03-17 15:40:00 UTC,167,day,26.488,4822.3,89.21255
03/17/22 03:50:00  PM,2022-03-17 15:50:00 UTC,168,day,26.488,4650,86.025
03/17/22 04:00:00  PM,2022-03-17 16:00:00 UTC,169,day,26.488,2669.5,49.38575
03/17/22 04:10:00  PM,2022-03-17 16:10:00 UTC,170,day,26.585,4305.6,79.6536
03/17/22 04:20:00  PM,2022-03-17 16:20:00 UTC,171,day,26.488,3272.2,60.5357
03/17/22 04:30:00  PM,2022-03-17 16:30:00 UTC,172,day,26.585,2238.9,41.41965
03/17/22 04:40:00  PM,2022-03-17 16:40:00 UTC,173,day,26.488,1808.3,33.45355
03/17/22 04:50:00  PM,2022-03-17 16:50:00 UTC,174,day,26.585,1980.6,36.6411
03/17/22 05:00:00  PM,2022-03-17 17:00:00 UTC,175,day,26.488,1205.6,22.3036
03/17/22 05:10:00  PM,2022-03-17 17:10:00 UTC,176,day,26.488,882.6,16.3281
03/17/22 05:20:00  PM,2022-03-17 17:20:00 UTC,177,day,26.585,936.5,17.32525
03/17/22 05:30:00  PM,2022-03-17 17:30:00 UTC,178,day,26.585,753.5,13.93975
03/17/22 05:40:00  PM,2022-03-17 17:40:00 UTC,179,day,26.585,818.1,15.13485
03/17/22 05:50:00  PM,2022-03-17 17:50:00 UTC,180,day,26.585,236.8,4.3808
03/17/22 06:00:00  PM,2022-03-17 18:00:00 UTC,181,night,26.585,64.6,1.1951
03/17/22 06:10:00  PM,2022-03-17 18:10:00 UTC,182,night,26.585,10.8,0.1998
03/17/22 06:20:00  PM,2022-03-17 18:20:00 UTC,183,night,26.585,0,0
03/17/22 06:30:00  PM,2022-03-17 18:30:00 UTC,184,night,26.585,0,0
03/17/22 06:40:00  PM,2022-03-17 18:40:00 UTC,185,night,26.585,0,0
03/17/22 06:50:00  PM,2022-03-17 18:50:00 UTC,186,night,26.585,0,0
03/17/22 07:00:00  PM,2022-03-17 19:00:00 UTC,187,night,26.585,0,0
03/17/22 07:10:00  PM,2022-03-17 19:10:00 UTC,188,night,26.585,0,0
03/17/22 07:20:00  PM,2022-03-17 19:20:00 UTC,189,night,26.585,0,0
03/17/22 07:30:00  PM,2022-03-17 19:30:00 UTC,190,night,26.585,0,0
03/17/22 07:40:00  PM,2022-03-17 19:40:00 UTC,191,night,26.585,0,0
03/17/22 07:50:00  PM,2022-03-17 19:50:00 UTC,192,night,26.585,0,0
03/17/22 08:00:00  PM,2022-03-17 20:00:00 UTC,193,night,26.585,0,0
03/17/22 08:10:00  PM,2022-03-17 20:10:00 UTC,194,night,26.585,0,0
03/17/22 08:20:00  PM,2022-03-17 20:20:00 UTC,195,night,26.585,0,0
03/17/22 08:30:00  PM,2022-03-17 20:30:00 UTC,196,night,26.585,0,0
03/17/22 08:40:00  PM,2022-03-17 20:40:00 UTC,197,night,26.585,0,0
03/17/22 08:50:00  PM,2022-03-17 20:50:00 UTC,198,night,26.585,0,0
03/17/22 09:00:00  PM,2022-03-17 21:00:00 UTC,199,night,26.585,0,0
03/17/22 09:10:00  PM,2022-03-17 21:10:00 UTC,200,night,26.585,0,0
03/17/22 09:20:00  PM,2022-03-17 21:20:00 UTC,201,night,26.585,0,0
03/17/22 09:30:00  PM,2022-03-17 21:30:00 UTC,202,night,26.585,0,0
03/17/22 09:40:00  PM,2022-03-17 21:40:00 UTC,203,night,26.585,0,0
03/17/22 09:50:00  PM,2022-03-17 21:50:00 UTC,204,night,26.585,0,0
03/17/22 10:00:00  PM,2022-03-17 22:00:00 UTC,205,night,26.585,0,0
03/17/22 10:10:00  PM,2022-03-17 22:10:00 UTC,206,night,26.585,0,0
03/17/22 10:20:00  PM,2022-03-17 22:20:00 UTC,207,night,26.585,0,0
03/17/22 10:30:00  PM,2022-03-17 22:30:00 UTC,208,night,26.585,0,0
03/17/22 10:40:00  PM,2022-03-17 22:40:00 UTC,209,night,26.585,0,0
03/17/22 10:50:00  PM,2022-03-17 22:50:00 UTC,210,night,26.585,0,0
03/17/22 11:00:00  PM,2022-03-17 23:00:00 UTC,211,night,26.585,0,0
03/17/22 11:10:00  PM,2022-03-17 23:10:00 UTC,212,night,26.585,0,0
03/17/22 11:20:00  PM,2022-03-17 23:20:00 UTC,213,night,26.585,0,0
03/17/22 11:30:00  PM,2022-03-17 23:30:00 UTC,214,night,26.585,0,0
03/17/22 11:40:00  PM,2022-03-17 23:40:00 UTC,215,night,26.683,0,0
03/17/22 11:50:00  PM,2022-03-17 23:50:00 UTC,216,night,26.683,0,0
03/18/22 12:00:00  AM,2022-03-18 00:00:00 UTC,217,night,26.683,0,0
03/18/22 12:10:00  AM,2022-03-18 00:10:00 UTC,218,night,26.683,0,0
03/18/22 12:20:00  AM,2022-03-18 00:20:00 UTC,219,night,26.683,0,0
03/18/22 12:30:00  AM,2022-03-18 00:30:00 UTC,220,night,26.683,0,0
03/18/22 12:40:00  AM,2022-03-18 00:40:00 UTC,221,night,26.683,0,0
03/18/22 12:50:00  AM,2022-03-18 00:50:00 UTC,222,night,26.683,0,0
03/18/22 01:00:00  AM,2022-03-18 01:00:00 UTC,223,night,26.683,0,0
03/18/22 01:10:00  AM,2022-03-18 01:10:00 UTC,224,night,26.683,0,0
03/18/22 01:20:00  AM,2022-03-18 01:20:00 UTC,225,night,26.683,0,0
03/18/22 01:30:00  AM,2022-03-18 01:30:00 UTC,226,night,26.683,0,0
03/18/22 01:40:00  AM,2022-03-18 01:40:00 UTC,227,night,26.683,0,0
03/18/22 01:50:00  AM,2022-03-18 01:50:00 UTC,228,night,26.683,0,0
03/18/22 02:00:00  AM,2022-03-18 02:00:00 UTC,229,night,26.683,0,0
03/18/22 02:10:00  AM,2022-03-18 02:10:00 UTC,230,night,26.683,0,0
