site,plot_id,plot,season,scale,rugosity
Outlet,OT1,OT_5,Fall,10cm,1.376412955
Outlet,OT1,OT_5,Fall,10cm,1.348312552
Outlet,OT1,OT_5,Fall,10cm,1.450294668
Outlet,OT1,OT_5,Fall,10cm,1.417055803
Outlet,OT1,OT_5,Fall,10cm,1.454456843
Outlet,OT1,OT_5,Fall,10cm,1.443668612
Outlet,OT1,OT_5,Fall,10cm,1.442302071
Outlet,OT1,OT_5,Fall,10cm,1.389082265
Outlet,OT1,OT_5,Fall,10cm,1.346549193
Outlet,OT1,OT_5,Fall,10cm,1.309034731
Outlet,OT1,OT_5,Fall,10cm,1.409738452
Outlet,OT1,OT_5,Fall,10cm,1.359978314
Outlet,OT1,OT_5,Fall,10cm,1.381600932
Outlet,OT1,OT_5,Fall,10cm,1.389145268
Outlet,OT1,OT_5,Fall,10cm,1.395827603
Outlet,OT1,OT_5,Fall,10cm,1.379354201
Outlet,OT1,OT_5,Fall,10cm,1.36314817
Outlet,OT1,OT_5,Fall,10cm,1.373781623
Outlet,OT1,OT_5,Fall,10cm,1.375313841
Outlet,OT1,OT_5,Fall,10cm,1.378460962
Outlet,OT1,OT_5,Fall,10cm,1.364063946
Outlet,OT1,OT_5,Fall,10cm,1.360895525
Outlet,OT1,OT_5,Fall,10cm,1.359720207
Outlet,OT1,OT_5,Fall,10cm,1.329894451
Outlet,OT1,OT_5,Fall,10cm,1.313989526
Outlet,OT1,OT_5,Fall,10cm,1.371374552
Outlet,OT1,OT_5,Fall,10cm,1.355210596
Outlet,OT1,OT_5,Fall,10cm,1.379184629
Outlet,OT1,OT_5,Fall,10cm,1.324704597
Outlet,OT1,OT_5,Fall,10cm,1.273866115
Outlet,OT1,OT_5,Fall,10cm,1.250301931
Outlet,OT1,OT_5,Fall,10cm,1.236738295
Outlet,OT1,OT_5,Fall,10cm,1.189120838
Outlet,OT1,OT_5,Fall,10cm,1.171362265
Outlet,OT1,OT_5,Fall,10cm,1.149715366
Outlet,OT1,OT_5,Fall,10cm,1.156817289
Outlet,OT1,OT_5,Fall,10cm,1.142856611
Outlet,OT1,OT_5,Fall,10cm,1.148396261
Outlet,OT1,OT_5,Fall,10cm,1.145736637
Outlet,OT1,OT_5,Fall,10cm,1.145182242
Outlet,OT1,OT_5,Fall,10cm,1.202869793
Outlet,OT1,OT_5,Fall,10cm,1.215259244
Outlet,OT1,OT_5,Fall,10cm,1.193151581
Outlet,OT1,OT_5,Fall,10cm,1.20882322
Outlet,OT1,OT_5,Fall,10cm,1.216505968
Outlet,OT1,OT_5,Fall,10cm,1.209660127
Outlet,OT1,OT_5,Fall,10cm,1.229913167
Outlet,OT1,OT_5,Fall,10cm,1.25300513
Outlet,OT1,OT_5,Fall,10cm,1.29755511
Outlet,OT1,OT_5,Fall,10cm,1.37131273
Outlet,OT1,OT_5,Fall,10cm,1.375509228
Outlet,OT1,OT_5,Fall,10cm,1.389479453
Outlet,OT1,OT_5,Fall,10cm,1.405455488
Outlet,OT1,OT_5,Fall,10cm,1.414158814
