coral_id,tank,treatment,site,surface_area_cm2,dillution,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,mean_cell_per_mm3,mean*dilution*10^4_cell_per_ml,norm_density,sym_density
T1-OT1,T1,30C,OT,3.145588,4,28,27,39,34,33,30,39,32,32.75,1310000,416456.32,4.164563191
T1-OT2,T1,30C,OT,6.565172,8,32,50,28,34,38,53,33,46,39.25,3140000,478281.45,4.782814525
T1-OT3,T1,30C,OT,2.4616712,4,25,28,37,34,28,23,27,56,32.25,1290000,524034.24,5.240342415
T1-OT4,T1,30C,OT,2.77202,4,42,33,33,50,46,29,46,35,39.25,1570000,566373.98,5.6637398
T1-OT5,T1,30C,OT,4.5651464,5,33,36,41,29,29,31,28,40,33.375,1668750,365541.40,3.655413986
T1-OT6,T1,30C,OT,4.8065288,8,49,39,42,28,46,29,47,26,38.25,3060000,636634.07,6.366340716
T1-IT1,T1,30C,IT,2.7317896,8,18,28,29,28,31,28,35,25,27.75,2220000,812654.09,8.126540931
T1-IT2,T1,30C,IT,1.9501704,4,21,18,15,16,19,12,16,20,17.125,685000,351251.36,3.512513573
T1-IT3,T1,30C,IT,3.4731784,8,38,22,30,27,30,26,43,37,31.625,2530000,728439.40,7.284394029
T1-IT4,T1,30C,IT,3.260532,8,25,22,27,21,21,29,28,27,25,2000000,613396.83,6.133968322
T1-IT5,T1,30C,IT,2.7030536,8,74,53,29,32,40,44,49,43,45.5,3640000,1346625.16,13.46625165
T1-IT6,T1,30C,IT,2.743284,6,17,19,13,11,14,18,13,11,14.5,870000,317138.15,3.171381454
T1-HK1,T1,30C,HK,2.2777608,6,36,28,35,30,37,41,45,29,35.125,2107500,925250.80,9.252507989
T1-HK2,T1,30C,HK,2.1283336,5,48,46,58,48,62,50,62,51,53.125,2656250,1248042.13,12.4804213
T1-HK3,T1,30C,HK,2.8352392,6,41,41,54,33,48,39,37,51,43,2580000,909976.13,9.099761318
T1-HK4,T1,30C,HK,3.2260488,8,32,45,50,52,46,37,43,35,42.5,3400000,1053920.82,10.53920821
T1-HK5,T1,30C,HK,2.4156936,8,39,36,52,38,61,44,45,61,47,3760000,1556488.79,15.56488786
T1-HK6,T1,30C,HK,3.547892,6,43,43,32,30,37,51,27,53,39.5,2370000,668002.30,6.680022954
T1-HKS1,T1,30C,HKS,2.8122504,8,52,40,55,48,50,45,43,52,48.125,3850000,1369010.38,13.69010384
T1-HKS2,T1,30C,HKS,5.444468,8,59,74,74,63,78,69,50,81,68.5,5480000,1006526.26,10.06526257
